Soltu.DM.09G000220,2222.418567,4315.66496,6851.998346,2288.885763,8512.353223,2610.638082,3644.2188,2601.960376,8494.011464,3799.745022,9658.883728
Soltu.DM.09G000240,7121.611205,4626.602627,6853.379797,7445.488843,5875.989792,4604.671805,5358.987933,6250.558267,6000.721483,5566.901905,3672.73489
Soltu.DM.09G000250,2.531228436,1.873118472,1.381451279,0.714606857,24.09838602,0.61110442,2.00636014,0,20.74380386,0,30.43965721
Soltu.DM.09G000260,255.6540721,230.3935721,226.5580098,250.8270068,304.4429434,343.4406841,277.546486,340.0526683,345.1538475,275.4475303,403.325458
Soltu.DM.09G000270,0,0,2.762902559,3.573034285,0.803279534,2.44441768,0,2.787316953,0,1.430896261,0.951239288
Soltu.DM.09G000280,1.265614218,1.873118472,2.762902559,0,0.803279534,1.22220884,0,0,1.728650322,0,2.853717863
Soltu.DM.09G000290,12.65614218,13.11182931,5.525805117,5.002247999,11.24591348,8.555461881,16.05088112,9.755609336,9.219468382,7.154481307,11.41487145
Soltu.DM.09G000300,5.062456873,3.746236945,0,3.573034285,6.426236273,5.49993978,2.675146853,6.968292383,4.033517417,2.146344392,1.902478575
Soltu.DM.09G000320,863.1488968,1949.91633,1131.408598,896.8316055,1050.689631,1451.984102,1038.625766,1049.424833,957.0960614,1219.839063,1618.058028
Soltu.DM.09G000330,32.90596967,9.365592362,8.288707676,20.008992,7.229515807,12.83319282,34.10812237,25.08585258,4.033517417,21.46344392,6.658675014
Soltu.DM.09G000340,25.31228436,11.23871083,5.525805117,10.71910285,8.836074875,17.11092376,9.363013985,25.08585258,7.49081806,13.59351448,8.56115359
Soltu.DM.09G000350,0,1.873118472,0,1.429213714,0,0,0.668786713,0,1.728650322,0.715448131,0
Soltu.DM.09G000360,1.265614218,56.19355417,8.288707676,7.860675427,8.836074875,21.3886547,11.36937412,12.54292629,18.43893676,14.30896261,15.2198286
Soltu.DM.09G000370,1.265614218,11.23871083,1.381451279,0.714606857,0.803279534,2.44441768,0.668786713,2.787316953,2.304867095,2.861792523,5.707435726
